Date,Close/Last,Volume,Open,High,Low,Day
05/26/2021,163.26,47679720,163.73,164.79,162.93,317
05/27/2021,161.51,51223140,162.80,163.02,161.50,318
05/28/2021,161.15,46630180,162.10,162.40,160.99,319
06/01/2021,160.93,48600900,162.17,162.55,160.45,320
06/02/2021,161.70,40290480,161.16,161.75,160.40,321
06/03/2021,159.35,47965860,160.21,160.72,159.20,322
06/04/2021,160.31,44994980,160.60,161.05,159.94,323
06/07/2021,159.90,44315120,159.87,160.40,158.61,324
06/08/2021,163.21,68334600,161.13,163.98,160.90,325
06/09/2021,164.06,49110600,163.64,164.88,163.54,326
06/10/2021,167.48,69529600,164.10,167.55,164.06,327
06/11/2021,167.34,56347040,167.48,168.33,166.67,328
06/14/2021,169.19,51393100,167.34,169.25,166.78,329
06/15/2021,169.16,48524000,169.20,169.85,168.16,330
06/16/2021,170.76,84055640,169.60,171.32,168.03,331
06/17/2021,174.46,102730620,170.16,174.86,170.05,332
06/18/2021,174.35,104954740,174.00,175.35,173.69,333
06/21/2021,172.70,65542600,173.82,174.10,171.70,334
06/22/2021,175.27,66901640,172.90,176.19,172.80,335
06/23/2021,175.19,56266820,175.25,176.05,174.16,336
06/24/2021,172.45,76639980,175.38,176.24,171.54,337
06/25/2021,170.07,78819940,173.20,173.24,169.71,338
06/28/2021,172.19,44855860,170.80,172.40,170.68,339
06/29/2021,172.41,41968780,171.94,172.80,171.15,340
06/30/2021,172.01,48079840,172.05,173.58,171.75,341
07/01/2021,171.65,40741060,171.73,172.85,170.47,342
07/02/2021,175.55,63533940,172.58,175.59,171.85,343
07/06/2021,183.79,134895360,176.51,184.27,176.45,344
07/07/2021,184.83,106561240,185.87,186.71,183.95,345
07/08/2021,186.57,103612460,182.18,188.00,181.06,346
07/09/2021,185.97,74964740,186.13,187.40,184.67,347
07/12/2021,185.93,51432700,187.20,187.86,184.84,348
07/13/2021,183.87,76918340,185.11,188.65,183.57,349
07/14/2021,184.08,65931360,185.44,185.88,183.04,350
07/15/2021,181.56,63705840,184.71,184.77,181.05,351
07/16/2021,178.68,80874120,181.67,182.30,178.52,352
07/19/2021,177.48,75691900,176.63,177.51,174.96,353
07/20/2021,178.66,65113600,178.37,179.60,175.90,354
07/21/2021,179.26,46379780,178.82,179.32,177.18,355
07/22/2021,181.90,65307040,179.36,182.00,179.11,356
07/23/2021,182.83,48725840,182.00,183.31,181.10,357
07/26/2021,184.99,58001360,183.66,185.60,182.36,358
07/27/2021,181.32,82637800,184.93,184.93,179.31,359
07/28/2021,181.52,59987560,181.69,182.92,180.05,360
07/29/2021,180.00,110399040,181.39,181.90,179.00,361
07/30/2021,166.38,199311860,167.40,168.41,165.35,362
08/02/2021,166.57,67078300,167.66,167.95,165.85,363
08/03/2021,168.31,83146860,167.04,169.55,164.99,364
08/04/2021,167.74,43678900,168.97,169.44,167.28,365
08/05/2021,168.80,48670060,167.81,169.45,167.05,366
08/06/2021,167.25,52752880,168.75,168.75,166.45,367
08/09/2021,167.09,42964400,167.18,167.74,166.43,368
08/10/2021,166.03,48251020,167.25,167.90,165.75,369
08/11/2021,164.61,58944980,166.57,166.89,163.89,370
08/12/2021,165.18,46476460,164.50,165.73,163.48,371
08/13/2021,164.70,41133980,165.28,165.30,164.15,372
08/16/2021,164.95,66569880,164.15,165.00,160.56,373
08/17/2021,162.10,67758440,163.88,164.02,161.28,374
08/18/2021,160.06,56086220,162.10,162.70,160.00,375
08/19/2021,159.39,75657240,159.70,161.65,159.12,376
08/20/2021,160.00,67168560,160.19,160.39,158.79,377
08/23/2021,163.29,65362620,160.60,164.05,160.50,378
08/24/2021,165.29,51036820,164.00,165.77,163.73,379
